,name,offices
40,Rentoid,[{'country_code': 'AUS'}]
41,Rising Sun Research,[{'country_code': 'AUS'}]
42,CheckDog,[{'country_code': 'AUS'}]
43,FriendFeedMachine,[{'country_code': 'AUS'}]
44,SuperVirals,[{'country_code': 'AUS'}]
45,The Publicity Wheel,[{'country_code': 'AUS'}]
46,Panedia,[{'country_code': 'AUS'}]
47,Jumbuck Entertainment,[{'country_code': 'AUS'}]
48,Diabetic Days,[{'country_code': 'AUS'}]
49,TechAnts,[{'country_code': 'AUS'}]
50,Pollenizer,[{'country_code': 'AUS'}]
51,Atmail,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
52,Rbate,[{'country_code': 'AUS'}]
53,RMW Web Publishing,[{'country_code': 'AUS'}]
54,Docoloco,[{'country_code': 'AUS'}]
55,PageUp People,"[{'country_code': 'AUS'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'CHN'}]"
56,Flickspin Media,[{'country_code': 'AUS'}]
57,ximl,[{'country_code': 'AUS'}]
58,Rally Software,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'ANT'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}, {'country_code': 'SGP'}, {'country_code': 'FIN'}]"
59,Twitoosearch,[{'country_code': 'AUS'}]
60,Syntac Ventures,[{'country_code': 'AUS'}]
61,WhatYah!,[{'country_code': 'AUS'}]
62,Exinda,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'MYS'}, {'country_code': 'GBR'}]"
63,Barracuda Networks,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'FRA'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}]"
64,Geekdom,[{'country_code': 'AUS'}]
65,UNOS Development,"[{'country_code': 'HKG'}, {'country_code': 'AUS'}]"
66,Brand New Media,[{'country_code': 'AUS'}]
67,BuiltWith,[{'country_code': 'AUS'}]
68,GENNIT,[{'country_code': 'AUS'}]
69,Faulkner Technologies,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
70,MyTickets,[{'country_code': 'AUS'}]
71,Feedity,[{'country_code': 'AUS'}]
72,Kindersay,[{'country_code': 'AUS'}]
73,mental images,"[{'country_code': 'USA'}, {'country_code': 'DEU'}, {'country_code': 'AUS'}]"
74,Appian,"[{'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'FRA'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}]"
75,Messmo,"[{'country_code': 'AUS'}, {'country_code': 'IND'}, {'country_code': 'HKG'}]"
76,Digital Ventures,[{'country_code': 'AUS'}]
77,Orion,[{'country_code': 'AUS'}]
78,Copper Project,[{'country_code': 'AUS'}]
79,Travellerspoint,"[{'country_code': 'NOR'}, {'country_code': 'AUS'}]"
80,Refulgence Technostream,[{'country_code': 'AUS'}]
81,StreetAdvisor,[{'country_code': 'AUS'}]
82,XY InterAct,[{'country_code': 'AUS'}]
83,Kapish,[{'country_code': 'AUS'}]
84,SMS Poll,[{'country_code': 'AUS'}]
85,Triana Global,[{'country_code': 'AUS'}]
86,DH Technology,[{'country_code': 'AUS'}]
87,Dexterra,"[{'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'DEU'}, {'country_code': 'ARE'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
88,intelemail,[{'country_code': 'AUS'}]
89,Retriever Communications,"[{'country_code': 'AUS'}, {'country_code': 'ITA'}, {'country_code': 'GBR'}]"
90,Coremetrics,"[{'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'DEU'}, {'country_code': 'FRA'}, {'country_code': 'AUS'}]"
91,CarbonFlow,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}]"
92,Enikos,[{'country_code': 'AUS'}]
93,Amnesia Group,[{'country_code': 'AUS'}]
94,Event Innovation,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}]"
95,Xero,"[{'country_code': 'NZL'}, {'country_code': 'NZL'}, {'country_code': 'AUS'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}]"
96,Ourexplorer,[{'country_code': 'AUS'}]
97,CodeSense,[{'country_code': 'AUS'}]
98,Interspire,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
99,Dedication Group,[{'country_code': 'AUS'}]
100,Infoactive Media,"[{'country_code': 'GBR'}, {'country_code': 'AUS'}]"
